actor_id,first_name,last_name,gender
2,Michael,'babeepower' Viera,M
3,Eloy,'Chincheta',M
4,Dieguito,'El Cigala',M
5,Antonio,'El de Chipiona',M
6,José,'El Francés',M
7,Félix,'El Gato',M
8,Marcial,'El Jalisco',M
9,José,'El Morito',M
10,Francisco,'El Niño de la Manola',M
11,Víctor,'El Payaso',M
12,Antonio,'El Pescaíto',M
13,Luis,'El Plojo',M
14,Janny,'el Portugues',M
15,Antonio,'El Rilete',M
16,Baltazar,'El Toro',M
17,Luis Roberto,'Formiga',M
18,Murray the,'K',M
19,Néstor,'Kick Boxer',M
20,Tony,'La Chispa',M
21,Pollino,'Romero',M
22,Frans,'t Hoen,M
23,Jorrit,'t Hoen,M
24,Dick,'t Hooft,M
25,Jacob,'The Jeweler',M
26,Izzy,'The Religious Nut',M
27,Ka'olelo,'Ulaleo,M
28,Oswald,'Ô',M
29,Todd,1,M
30,Mac,10,M
32,Angel,11:11,M
33,Nick,13,M
34,Shaggy,2 Dope,M
35,Mode,2,M
36,Benjamin,2X,M
37,The,3 Whippets,M
38,André,3000,M
40,Articolo,31,M
41,Rappin',4-Tay,M
42,The,4D Jones,M
43,Mick,5,M
44,James,52X,M
45,Lucky,7,M
46,Marc,7,M
47,Equipe,84,M
48,Ahmed,A El Rahim,M
49,Dragan,a zovu ga Elvis,M
50,Brett,A'Hearn,M
51,Lejaren,a'Hiller,M
52,Yussuf Abed,A'Nur,M
53,Headhunter,A,M
55,Yunga,A,M
56,Cairns,A.,M
57,Dominique,A.,M
58,Narayana Rao,A.,M
59,Prasad,A.,M
60,Satyanarayana,A.,M
61,Narayana,A.L.,M
62,Raja,A.M.,M
63,Krishna,A.R.,M
64,Alwi,A.S.,M
65,Giri,A.S.,M
66,Subba Rao,A.V. Jr.,M
67,Subba Rao,A.V.,M
68,Brynjar,Aa,M
69,Andreas,Aabel,M
70,Hauk (I),Aabel,M
71,Per (I),Aabel,M
72,Palle,Aabentoft,M
73,Dennis,Aaberg,M
74,Linus (I),Aaberg,M
75,Linus (II),Aaberg,M
76,Kristian,Aaby,M
77,Olaf,Aabye,M
78,Tørres,Aadland,M
79,Argo,Aadli,M
80,Per,Aaeng,M
81,Karl,Aagaard Østvig Jr.,M
82,Carl Powl,Aagaard,M
83,Egon,Aagaard,M
84,Jesper,Aagaard,M
85,Lasse,Aagaard,M
86,Sebastian,Aagaard-Williams,M
87,Karl,Aagard Østvig,M
88,Per,Aage Brandt,M
89,Jan,Aagre,M
90,Thomas,Aagren,M
91,Dee,Aaker,M
92,Lee,Aaker,M
93,Kim Fupz,Aakeson,M
94,Steve,Aalam,M
95,Freddy,Aalbeck,M
96,George,Aalbregise,M
97,Niels,Aalbæk Jensen,M
98,Karsten,Aalholm,M
99,Preben,Aalholt,M
100,Henri,Aalto,M
101,Keijo,Aalto,M
102,Petri,Aalto,M
103,Rostislav,Aalto,M
106,Pauli,Aalto-Setälä,M
107,Heikki,Aaltoila,M
108,Alpo,Aaltokoski,M
109,Jouko,Aaltonen,M
111,Jukka,Aaltonen,M
112,Kosti,Aaltonen,M
113,Leif,Aaltonen,M
114,Markus,Aaltonen,M
115,Remu,Aaltonen,M
116,Risto,Aaltonen,M
117,Veikko,Aaltonen,M
118,Vesa,Aaltonen,M
119,Yrjö,Aaltonen,M
120,Stacy,Aam,M
121,John,Aamdahl,M
122,Willie,Aames,M
123,Kjetil André,Aamodt,M
124,Kristian,Aamodt,M
125,Thor Michael,Aamodt,M
126,Asger,Aamund,M
127,Dai Sai,Aan,M
128,Peter,Aanensen,M
129,Adolf,Aanesen,M
130,Lehtinen,Aape,M
131,Jim,Aar,M
132,Abraxas,Aaran,M
133,Steve,Aaran,M
134,Satyanarayana,Aarani,M
135,Efisio,Aarbus,M
136,Frank J.,Aard,M
137,Ott,Aardam,M
138,Raymond,Aarden,M
139,Fritz,Aardvark Bragpuss,M
140,Bruce,Aarestad,M
141,Carsten,Aarestrup,M
142,Lasse,Aarestrup,M
143,Mick,Aarestrupp,M
144,Jeffrey,Aarles,M
145,Annu,Aarnela,M
146,Douglas,Aarniokoski,M
147,Aash,Aaron,M
148,Armando,Aaron,M
149,Bob (I),Aaron,M
150,Brian,Aaron,M
151,Chad,Aaron,M
152,Charles,Aaron,M
153,Chuck,Aaron,M
154,David S.,Aaron,M
155,Eddie,Aaron,M
156,Eric,Aaron,M
157,Frank,Aaron,M
158,Hank,Aaron,M
159,Jack,Aaron,M
160,James (I),Aaron,M
161,James (II),Aaron,M
162,Jeff,Aaron,M
163,Joe (II),Aaron,M
164,John (I),Aaron,M
165,Levy,Aaron,M
166,Mark (II),Aaron,M
167,Nicholas,Aaron,M
168,Piet,Aaron,M
169,Rabbi Jonathan,Aaron,M
171,Robert,Aaron,M
172,Sam (I),Aaron,M
173,Sam (II),Aaron,M
174,Shane,Aaron,M
175,Terry,Aaron,M
176,Travis,Aaron,M
177,Victor,Aaron,M
178,Ben,Aaronovitch,M
179,David,Aaronovitch,M
180,Owen,Aaronovitch,M
181,Aaron,Aarons,M
182,Allan,Aarons,M
184,Leroy,Aarons,M
185,Alan,Aaronson,M
186,Scott,Aaronson,M
187,Tapio,Aarre-Ahtio,M
188,Bob,Aarrons,M
189,Reidar,Aarsand,M
190,Josef,Aarskov,M
191,Erik,Aarsland,M
192,Daniel,Aarsman,M
193,Turid,Aarstad,M
194,Karl Johan,Aarsæther,M
195,Uuno,Aarto,M
196,Jack,Aarts,M
197,Raf,Aarts,M
198,Sjors,Aarts,M
199,Heikki,Aarva,M
200,Sami,Aarva,M
201,Einar Kvarving,Aarvig,M
202,Arne,Aas,M
203,Ask,Aas,M
204,Gunnar,Aas,M
205,Harald,Aas,M
206,Knut,Aas,M
207,Nils,Aas,M
208,Svein Roar,Aas,M
209,Geir,Aase,M
210,Henrik,Aase,M
211,Henrik,Aasekjær,M
212,Craig,Aasen,M
213,John,Aasen,M
214,Larry,Aasen,M
215,Jay,Aaseng,M
216,Ivar,Aaserud,M
217,Per Morten,Aaserud,M
218,Aaron,Aash,M
219,Erik,Aasheim,M
220,Paal Tarjei,Aasheim,M
221,C.S.,Aasie,M
222,G.S.,Aasie,M
223,Derek,Aasland,M
224,Freddy,Aastrøm,M
225,Jamel,Aattache,M
226,Tõnu,Aav,M
227,Kaarlo,Aavajoki,M
228,Evald,Aavik,M
229,Mohamed,Aazzi,M
230,Imad,Ab on Khaled,M
231,Dilek,Aba,M
232,Eusebio,Aba,M
233,Saleem,Abaas,M
235,Manon,Abacjodze,M
236,Diego,Abad de Santillán,M
237,Antonio,Abad Ojuel,M
238,José,Abad Zuleta,M
239,Alejandro,Abad,M
240,Gabriel G.,Abad,M
241,Jose Gil,Abad,M
242,José,Abad,M
243,Kike,Abad,M
244,Manuel,Abad,M
245,Ramiro,Abad,M
246,Ángel,Abad,M
247,Óscar,Abad,M
248,Nabil,Abada,M
249,Ignasi,Abadal,M
250,Josep,Abadal,M
251,José Ignacio,Abadal,M
252,Christophe,Abadallah,M
253,César,Abades,M
254,Reyes,Abades,M
255,Rene,Abadeza,M
256,Ebrahim,Abadi,M
257,Lysander O.,Abadia,M
258,Oscar,Abadia,M
259,A.C.,Abadie,M
260,Brian,Abadie,M
261,Hector,Abadie,M
262,Jean-Claude,Abadie,M
263,Jean-Jacques,Abadie,M
264,Romuald,Abadie,M
265,William,Abadie,M
266,Eksander,Abadii,M
267,Aleli,Abadilla,M
268,Luis,Abadié,M
269,D.,Abadzhiev,M
270,Dimitar,Abadzhiev,M
271,Lyubomir,Abadzhiev,M
272,Alexander,Abadzis,M
273,Jorge María,Abadía,M
274,Julio,Abadía,M
275,Frank,Abagnale Jr.,M
276,Sonny,Abagnale,M
277,George,Abagnalo,M
278,Hervé,Abah,M
279,Hakun Jana,Abai,M
280,Mohamed,Abaid,M
282,M.,Abaishvili,M
283,G.,Abajanyan,M
284,Gali,Abajdulov,M
285,David,Abajo,M
286,Mohamed,Abajou,M
287,Vladimir,Abajyan,M
288,M.M.,Abakar,M
289,Askhab,Abakarov,M
290,Suvit,Abakaz,M
291,A.,Abakirov,M
292,O.,Abakumov,M
293,Jorge,Abalo,M
294,Byron,Abalos,M
295,Coraje,Abalos,M
296,David Brian,Abalos,M
297,Jing,Abalos,M
298,Eduard,Abalov,M
299,Leopoldo,Aban,M
300,Odo,Abaquin,M
301,Joaquín,Abarca,M
302,Pablo,Abarca,M
303,Paul,Abarca,M
305,Erwin,Abarico,M
306,Rabadan,Abarkoroff,M
307,José María,Abarno,M
308,Boris,Abarov,M
309,Johnny,Abarrientos,M
310,Boleslaw,Abart,M
311,Christian,Abart,M
312,César,Abarzua,M
313,Antonio,Abascal,M
314,Cecilio,Abascal,M
315,Paul,Abascal,M
316,Ramón,Abascal,M
317,Pyotr,Abasheyev,M
318,Dato,Abashidze,M
319,Dodo,Abashidze,M
320,Gocha,Abashidze,M
321,Levan,Abashidze,M
322,Shalva,Abashidze,M
323,Vaso,Abashidze,M
324,Heiam,Abasi,M
325,Alain,Abasie,M
326,Roland T.,Abasolo,M
327,Aladdin,Abasov,M
328,R.,Abasov,M
329,Mehdi,Abassi,M
330,Ryan,Abastillas,M
331,Diego,Abatantuono,M
332,Saïdou,Abatcha,M
333,Enrico,Abate,M
334,Massimo,Abate,M
335,Rodolfo,Abate,M
336,Dean,Abatemarco,M
337,Tony,Abatemarco,M
338,Joaquín,Abati,M
339,William,Abatie,M
340,Paul V.,Abato,M
341,Paul Vito,Abato,M
342,Ali,Abatsis,M
343,Serge,Abattucci,M
344,Anthony Shaw,Abaté,M
345,Jorge,Abaunza,M
346,Handi,Abay,M
347,Korhan,Abay,M
348,Marc,Abaya,M
349,Gabriel,Abayg,M
350,Ahmed,Abaza,M
351,Fekry,Abaza,M
352,Rushdy,Abaza,M
353,Naim,Abazi,M
354,Refet,Abazi,M
355,Farouk,Abaziad,M
356,Vladimir,Abazopulo,M
357,G.,Abazyan,M
358,Franco,Abba,M
359,Tijani,Abba,M
360,Rashid,Abba-Mama,M
361,Alex,Abbad,M
362,Pete,Abbadessa,M
363,Claudio,Abbado,M
364,Brahim,Abbadzi,M
365,Sergio,Abbagnato,M
366,Ekow,Abban,M
367,Sean,Abbananto,M
368,Mohammed,Abbar,M
369,Abdullah,Abbas,M
370,Amir,Abbas,M
371,Darvish,Abbas,M
372,Eduardo,Abbas,M
373,Gassan,Abbas,M
374,Ghulam,Abbas,M
375,Hector,Abbas,M
376,Mahmoud,Abbas,M
377,Master,Abbas,M
378,Rasan,Abbas,M
379,S.K.,Abbas,M
380,S.M.,Abbas,M
381,Shezad,Abbas,M
382,Sofiane,Abbas,M
383,Mohammad,Abbasi,M
384,Riz,Abbasi,M
385,Dilmurad,Abbasov,M
386,Gyunduz,Abbasov,M
387,Foad,Abbass,M
388,Oussaida,Abbass,M
389,Abdallah,Abbassi,M
390,Gianni,Abbate,M
391,Joe,Abbate,M
392,Mario,Abbate,M
394,Roberto,Abbati,M
395,Stefano,Abbati,M
396,Sal,Abbatiello,M
399,Jeff,Abbaté,M
401,Nabil,Abbazy,M
402,Brandon,Abbe,M
403,Charles S.,Abbe,M
404,Guillaume,Abbe,M
405,Jack Yutaka,Abbe,M
406,James E.,Abbe,M
407,Lyman R.,Abbe,M
408,Visalia,Abbe,M
