movie_id,name,year,rank
0,#28,2002,
1,"#7 Train: An Immigrant Journey, The",2000,
2,$,1971,6.4
3,"$1,000 Reward",1913,
4,"$1,000 Reward",1915,
5,"$1,000 Reward",1923,
6,"$1,000,000 Duck",1971,5
7,"$1,000,000 Reward, The",1920,
8,"$10,000 Under a Pillow",1921,
9,"$100,000 ",1915,
10,"$100,000 Pyramid, The",2001,
11,$1000 a Touchdown,1939,6.7
12,"$20,000 Carat, The",1913,
13,$21 a Day Once a Month,1941,
14,"$2500 Bride, The",1912,
15,$30 ,1999,7.5
16,"$30,000 ",1920,
17,$300 y tickets,2002,
18,"$40,000 ",1996,9.6
19,"$5,000 Reward",1918,
20,"$5,000,000 Counterfeiting Plot, The",1914,
21,$5.15/Hr.,2004,
22,"$5.20 an Hour Dream, The",1980,
23,"$50,000 Challenge, The",1989,
24,"$50,000 Climax Show, The",1975,2.6
25,"$50,000 Jewel Theft, The",1915,
26,"$50,000 Reward",1924,
28,"$500 Reward, The",1911,
29,"$500,000 Reward",1911,
31,$pent,2000,4.3
32,$ucces Part One,1986,
33,$windle,2002,5.4
34,& frres,2000,
35,"''Bear'' Facts, The",1914,
36,'15',2002,6.8
37,'24-25' ne vozvrashchayetsya,1968,
38,'38,1987,6.7
39,'42,1951,
40,"'49, un souffle de colre",1996,
41,'49-'17,1917,5.8
42,'60s Pop Rock Reunion,2004,
43,"'60s, The",1999,
44,'68,1988,5.5
45,"'70s Celebration: The Beat Is Back, A",1993,
46,"'70s: The Decade That Changed Television, The",2000,
47,'88 Dodge Aries,2002,
48,'93 jie tou ba wang,1993,
49,'94 du bi dao zhi qing,1994,5.7
50,"'?' Motorist, The",1906,6.8
51,'A',1965,7.1
52,'A' gai waak,1983,7.2
53,'A' gai waak juk jaap,1987,7.2
54,"'Abbot' and 'Cresceus' Race, The",1901,
55,'Akasaka no shimai' yori: yoru no wada,1960,
56,"'Amphitrite', The",1897,
57,"'Ang Galing galing mo, Babes'",2002,
58,'Arriet's Baby,1913,
59,'Arry and 'Arriet's Evening Out,1909,
60,'Arry on the Steamboat,1901,
61,'As se hizo' - Torremolinos 73,2003,
62,'Babicky dobjejte presne!',1983,5.6
63,'Bad Buck' of Santa Ynez,1915,
64,'Bats' Abound,1999,
65,"'Belle de Varsovie, La'",1993,
66,'Betty Bee' (sopravvivere d'arte),1999,
67,"'Billy Elliot' Boy, The",2001,
68,'Borovo' Institut,1984,
69,'Breaker' Morant,1980,7.9
70,"'Brennus', Le",1897,
71,'Broadway Melody of 1940',1940,7.1
72,'Bullitt': Steve McQueen's Commitment to Reality,1968,6.6
73,"'burbs, The",1989,5.9
74,"'C' Word, The",1993,
76,'Cat and Mouse' at the Home,1983,
77,'Catch Me If You Can': Behind the Camera,2003,
78,'Columbia',1899,
79,'Columbia' and 'Defender' Rounding Stake-Boat,1899,
80,'Columbia' and 'Shamrock II' Finishing Second Race,1901,
81,'Columbia' and 'Shamrock II': Jockeying and Starting,1901,
82,'Columbia' and 'Shamrock II': Start of Second Race,1901,
83,'Columbia' and 'Shamrock II': Starting in the Third Race,1901,
84,'Columbia' and 'Shamrock II': Turning the Outer Stake Boat,1901,
85,'Columbia' Close to the Wind,1899,
86,'Columbia' vs. 'Defender',1899,
87,'Columbia' Winning the Cup,1899,3.6
88,'Columbia' Winning the Cup (1901/I),1901,
89,'Columbia' Winning the Cup (1901/II),1901,
90,"'Corsair', The",1899,
91,"'Courageous', O",1932,
93,'Courier',1900,
94,'Crocodile' Dundee II,1988,4.9
95,'Cross the Mexican Line,1914,
96,'Den vide verden's billedbog nr. 1,1938,
97,'Deutschland' Leaving New York at Full Speed (with Prince Henry of Prussia),1902,
98,"'Diamond S' Ranch, The",1912,
99,'Dikke Bertha' op doortocht in Brussel,1919,
100,'E',1981,7.9
101,'El Chicko' - der Verdacht,1995,4.1
102,'Elf' Jukebox,2004,
103,"'Erin', The",1899,
104,'Etruria',1899,
105,'Fighting' Dan McCool,1912,
106,'Foxy Grandpa' Shows Boys He Is a Magician,1902,
107,'Fraid Cat,1914,
108,'G' Men,1935,7.2
109,"'Gator and the Pickaninny, The",1900,
112,'Giant' Stars Are Off to Texas,1955,
113,'Glavdynya' na otdykhe,1927,
114,"'Glen Island,' Accompanying Parade, The",1898,
115,"'Golden Prison': The Louvre, 'A'",1964,
116,'Graf Waldersee',1899,
117,'Halloween 4' Final Cut,2001,
118,'Halloween' Unmasked 2000,1999,
119,"'Havana', The",1899,
120,'Hellboy': The Seeds of Creation,2004,
121,"'High Sign', The",1921,7.7
123,'Hol zsarnoksg van' (Egy br visszaemlkezsei),1989,
124,"'Hyp-Nut-Tist', The",1935,6.1
126,"'I' of the Beholder, The",1952,
127,'If Only' Jim,1920,3.5
128,"'Imp'probable Mr. Wee Gee, The",1966,
129,'Imperial Limited.' Canadian Pacific R.R.,1899,
130,"'Imhar', une lgende",1997,6.9
131,'In Side Out',1965,
132,"'Ins and Outs' of the Diaphragm, The",1976,
133,'It's Alive!',1969,
134,'Itch,1989,
135,"'Jarabe' Dance, Streets of Mexico, Pan-American Exposition",1901,
136,'Java Madness' formerly titled 'Coffee Madness',1995,6.6
137,"'Je vous salue, Marie'",1985,6.4
138,"'Jennie Deans', The",1898,
139,"'J to tedy beru, sfe...!'",1977,5.2
140,"'k vergeet u nooit, venti",1957,
141,'Kaash',1987,5.7
142,"'King' and 'Queen,' the Great High Diving Horses",1899,
143,'Kronprinz Wilhelm' with Prince Henry (of Prussia),1902,
144,'Kultura',1985,
145,'Ks-Bels' letmdjas: Romvri Jzsef,1995,
146,'L'Oiseau Bleu'. Sneltrein tussen Antwerpen en Parijs,1922,
147,'Leapfrog' on the Beach,1898,
148,'Loco' Motive,1927,
149,"'Lorenzo', The (1898/I)",1898,
150,"'Lorenzo', The (1898/II)",1898,
151,'M' comme Mathieu,1973,
152,'M' Word,1996,
153,"'Mad' Boy, I'll Blow Your Blues Away. Be Mine",1997,7.9
154,"'Make-Up' Thief, The",1899,
155,'Man Who Couldn't Feel' and Other Tales,1996,
156,'Manos' the Hands of Fate,1966,1.6
158,'Master Harold'... and the Boys,1985,
159,'Meng' jiu jia zhi ye,1992,
160,'Merci la vie',1991,7.2
161,'Metal Gear Solid 2: Sons of Liberty' - Making of the Hollywood Game,2002,
162,'Meteor III' Afloat,1902,
163,"'Meteor', The",1902,
164,'Mid Kentucky Hills,1913,
165,'Midnight Cowboy' Revisited,1994,
166,'Midst Woodland Shadows,1914,
167,'Minagoroshi no uta' yori kenj-yo saraba!,1960,
168,'Ming wang xing' xing dong,1992,
169,"'Mini' ta, La",1968,
170,"'Model' Wife, A",1915,
171,'Moonlight Mile': A Journey to Screen,2003,
172,"'Moving' Picture, A",1899,
173,'n donderend gepiep,1963,
174,"'N herinnering wijlen Z.M. Willem III een rijtoer makende door het Vondelpark te Amsterdam, 'N (1899",1899,
175,'n stukje humor,2002,
176,'N Sync & Britney Spears: Your #1 Video Requests... And More!,2000,
177,'N Sync In Concert,1998,
178,'N Sync: 'Ntimate Holiday Special,2000,
179,'N Sync: Live From Madison Square Garden,2000,
180,'N Sync: Making the Tour,2000,
181,'N Sync: No Strings Attached,1999,
182,'N Sync: PopOdyssey Live,2002,
183,'N Sync: The Atlantis Concert,2001,
184,'Ne gnstige Gelegenheit,1999,4.6
185,'Neath Austral Skies,1913,
186,'Neath Brooklyn Bridge,1942,5.4
187,'Neath Canadian Skies,1946,4
188,'Neath the Arizona Skies,1934,4.9
189,'Neath the Bababa Tree,1931,
190,'Neath Western Skies,1929,
191,'Nendo no omen' yori: kaachan,1961,
192,'Nfama!,1924,
193,"'Niagara', The",1899,
195,"'Night, Mother",1986,6.7
196,"'Non', ou A V Glria de Mandar",1990,6.8
197,'O Marenariello,1927,
198,'O re,1989,4
199,'O' de amor,1995,
200,'O' nu,1978,
201,'On the Inside: Catching Bank Robbers',2000,
202,'Ostler Joe,1908,
204,"'Panaderos', Los",1992,
205,"'Panther', The",1898,
206,'Partizanka',1974,
207,'Partizanka' - U korak s modom,1975,
208,"'Pennsylvania', The",1899,
209,'Pimpernel' Smith,1941,7
210,"'Please Kill Me, I'm a Faggot Nigger Jew'",1996,
211,'Pogoda domu niechaj bedzie z Toba...',1979,
214,'Rameau's Nephew' by Diderot (Thanx to Dennis Young),1974,
215,'Real Indian',1996,
217,"'Revenue' and the Girl, The",1911,
218,"'Richard Peck', The",1899,
219,'Romeo Must Die' Movie Special,2000,
220,'Rope' Unleashed,2001,
221,'Roslin Castle' (Troopship),1899,
222,'round and 'round,1978,
223,'Round Midnight,1986,7.3
224,'Round the World in 80 Days,1914,
225,"'S Wonderful, 'S Marvelous, 'S Gershwin",1972,
226,"'Sagamore', The",1899,
227,"'Sagasta', Admiral Dewey's Pet Pig",1899,
228,"'Sagres' em Goa, Bombaim, Djibuti, Suez e Cairo",1980,
229,'Sagres' em Marselha e Regresso a Lisboa,1980,
230,'Salem's Lot,2004,
