"actor_id","movie_id","role"
"28","846","Themselves"
"28","1465","Themselves"
"28","1681","Themselves"
"28","1975","Themselves"
"28","2009","Themselves - Performers"
"35","2252","(segment ""Id"")"
"38","1487","Himself"
"38","2258","Himself"
"38","2331","Himself"
"38","2581","Performer and winner of ""Hey "
"38","2626","Himself"
"43","1737","Himself - Performer"
"43","1743","Himself"
"43","2394","Himself"
"43","2581","Himself"
"47","1975","Themselves"
"47","2009","Themselves - Presenters"
"60","1487","Himself"
"60","2040","Himself"
"60","2394","Himself"
"68","6512","Pønker"
"70","10334","Alexander Nyberg"
"94","2256","Nabil"
"94","3182","Rico"
"112","9533","Printer"
"119","9533","Jäger"
"125","5218","Kollege"
"174","1300","Quincy Tarantula"
"179","692","Himself"
"179","2498","Himself"
"182","6865","Janitor #1"
"200","9239",""
"202","2063","Sjefen"
"206","1807","Bårebærer"
"261","8602",""
"275","77","Himself"
"290","7375","Master Abu Laboke"
"320","4826","Piliceman"
"321","9394","Nikusha Chachanidze"
"334","198",""
"337","10150","Demon"
"352","8596",""
"352","8603",""
"352","9751",""
"366","5192","Santa Lucia Club Owner"
"369","5932","Arab guard"
"375","209","Karl Meyer"
"392","5372","Lucio Dawla, the singer"
"439","4623","Himself"
"448","660","Himself"
"448","4618","Lester"
"448","4619","Buzz Kurtis"
"448","4620","Bud Jones"
"448","4621","Rocky Stonebridge"
"448","4622","Slim"
"448","4623",""
"448","4624","Bud Alexander"
"448","4625","Harry Pierce"
"448","4626","Casey Edwards"
"448","4627","Peter Patterson"
"448","7642","Buzz Johnson"
"461","809","Forbus"
"473","7295","Government official"
"480","1694","Gregorius"
"480","5114","Salesman"
"480","6282","Orchestra conductor"
"480","6815","Huish"
"485","1685","Himself (New York Mets shorts"
"494","3888","Himself"
"508","1675","Himself"
"508","2042","Himself (Canadian Comedy Hall"
"508","2627","Himself (Host - The Royal Can"
"528","5277","Abu Beker, local leader"
"535","8876","Tony"
"536","8876","Toni"
"548","3311","(segment ""Tapin du soir"")"
"550","826","Fuzzy Dice Vendor"
"563","9153",""
"563","9887",""
"569","4959",""
"569","5006",""
"618","10270","Skog"
"623","6152",""
"623","8741",""
"623","10503",""
"632","10520","Arab to Intone Evening Prayer"
"654","4244",""
"656","6190",""
"665","2573","Himself - performer"
"667","1805","Himself"
"667","9125","Roger Murdock"
"671","1805","Himself - Performer"
"671","2398","Himself/presenter"
"672","1805","Himself - Performer"
"672","2398","Himself/presenter"
"673","1805","Himself - Performer"
"673","2398","Himself/presenter"
"674","1805","Himself - Performer"
"674","2398","Himself/presenter"
"687","7632","Himself (Valet)"
"694","7630","Witch doctor"
"713","429",""
"713","3034",""
"713","10276","Prince"
"715","10266","Aizeks"
"728","2500",""
"734","6079","Alus"
"744","1300","Dancer"
"745","9470","Katada"
"750","9295","Yosuke Nonaka aka Muraki"
"767","8620","Aota's dad"
"767","9548","Teizo Yuasa"
"798","8249","L'agriculteur"
"801","1372","Count Berchtold"
"831","1048","Charles Gibson"
"831","7498","Richard Aiken"
"852","7832","Ted Ewing"
"858","1500","Eddie Jones (Hotel Waiter)"
"858","2720","Bob"
"862","5972","Rob Carter"
"883","6313","Secrétaire"
"905","627","Lee Lester"
"916","6248","Driver"
"935","923","Himself"
"935","2445","Himself (with Martin Luther K"
"946","7030",""
"961","9439",""
"966","9502","Arjun Srivastava"
"1008","3388",""
"1008","6625",""
"1013","2252","(segment ""Poisson Rouge"")"
"1047","6347","Pedro"
"1054","10070","Albert Einstein"
"1058","317","Kalala Wa Kalala"
"1058","7623","Guest artist"
"1064","10453","L'imprimeur"
"1066","10453","Serveur restaurant"
"1075","130","Hamou"
"1076","6090",""
"1083","749","Samy"
"1086","6754","Le serveur arabe"
"1094","6313","Employé Quearenga"
"1107","351","Pantaley"
"1107","2809","Himself - Best Actor Winner"
"1107","2815","Himself - Presenter: Best Act"
"1107","7477","Lucien Haslans"
"1108","9076","St. Joseph's Player #2"
"1110","2384","Rani"
"1114","2763","Konokko"
"1118","2617","Himself (Performer)"
"1118","7361","Aryan Trivedi"
"1124","3890","Himself"
"1125","6754","Flic 1"
"1125","7184","Xavier"
"1138","160","Patient"
"1138","5900",""
"1146","400","Playroom Playmate"
"1148","2250","Det. Steve Finn"
"1148","4694","Night manager"
"1157","3643","Himself"
"1157","9125","Religious zealot #6"
"1160","3919","Milo"
"1164","1635","Himself"
"1184","2256","Hasse"
"1201","364","Eisverkäufer"
"1209","9998",""
"1225","1199","Samir (enfant)"
"1232","10156","Restaurant Patron"
"1274","5571","Mr. Blatt"
"1311","3524",""
"1311","8555",""
"1311","8598",""
"1311","9665",""
"1311","9694","Picudo"
"1323","1747","Himself (NL Outfielder - Phil"
"1348","2283","Peter"
"1353","10264","Gavrilo Oleksich"
"1362","524","Polizeipräsident"
"1362","2674","Johnny"
"1366","10548","Wounded child"
"1370","2099","The Geoduck"
"1391","4307","Man in pub"
"1416","4363","Taylor"
"1416","7378","Taxi driver"
"1465","2755","Aranjuez"
"1465","8654",""
"1485","5272","Voz de Pío Coronado"
"1502","2224",""
"1502","5758",""
"1502","10255",""
"1505","2027","Jimmy (age 8)"
"1508","2685",""
"1555","7285","Fred Vernon"
"1575","10340","Ochus"
"1578","4926",""
"1581","10223",""
"1585","2837","Santo"
"1599","4929","Ricardo"
"1600","3458",""
"1618","10205","Le barman"
"1636","6888","Himself"
"1640","1092","Norseman"
"1640","2250","Dockmaster"
"1644","9274",""
"1646","6313","Joaquin Franklin"
"1658","6441",""
"1663","10110",""
"1667","670",""
"1668","263","Board Member"
"1668","2382","Teacher in hallway"
"1668","3006","Business Manager"
"1678","4507","Hick"
"1704","5644",""
"1722","7999","Museum curator"
"1733","7999","Newman's Son"
"1737","7952","Mr. Thompson"
"1741","7602","Desert Rat"
"1755","4794",""
"1763","5392",""
"1763","7164","The Prussian"
"1765","9883","Travis' man"
"1767","2136","Doyle"
"1781","8096","William Kuntsler"
"1792","9920",""
"1809","276","Manservant"
"1810","6864","Crowd"
"1812","6219","Himself"
"1822","2988","Hombre en prision"
"1822","5753",""
"1822","6439",""
"1822","8549",""
"1822","10002",""
"1822","10223",""
"1822","10567",""
"1823","8564","Actor tocón"
"1853","10535","Gangster"
"1855","5781",""
"1859","2685",""
"1877","5353",""
"1881","3388",""
"1881","5752",""
"1891","3169","Friend"
"1954","9454",""
"1981","6090",""
"1994","2773","Porky"
"1994","7961","Escort of Sexy Blonde"
"2005","5532",""
"2005","5821",""
"2005","6847",""
"2012","5833","Danny Sanchez"
"2026","9004","Warrior basketball player"
"2027","1016","Phillipe Barrachet"
"2040","2874","Himself"
"2041","9061",""
"2042","7459",""
"2050","1035","Peter"
"2054","2229","Himself"
"2069","6858","Van Thaal"
"2091","3489",""
"2109","10271",""
"2115","1888","Andrej"
"2129","10359","Himself"
"2158","3100","Omar"
"2162","9128","Cmdr. Reed"
"2163","7942",""
"2168","1955","Himself"
"2179","2017","Billy"
"2189","1543","Simon Pepper"
"2192","958","Himself - Presenter"
"2192","2719","Himself"
"2192","2930","Himself - Performer: 'Have Yo"
"2193","6721","Himself"
"2199","5166","Basketball Player"
"2217","689","Himself"
"2223","4971","2nd Police Official"
"2231","980","Narrator"
"2236","6949","Gingis Von"
"2270","2882","Henchman"
"2270","7036","Pickpocket"
"2270","10565","Pop, Stage Door Watchman"
"2304","2500","Von Hausen"
"2323","556","Jared"
"2339","7674",""
"2339","8300",""
"2344","612","Brandon Herald"
"2355","6906","Rent Collector"
"2355","6907","Insp. Hoge"
"2356","9005","Giant"
"2379","2470","Desk sergeant"
"2384","7097","Old Crusader"
"2384","8182","Jenkins, Mingott's Butler"
"2399","6125","Ray Mellette"
"2430","8362","Member of the Tom Jones Band"
"2437","7094","Hall"
"2442","7833","DMV Agent"
"2449","6768","Courier"
"2486","1054","Finney"
"2488","7545","Mel Gordon"
"2488","7809","Ben McHenry"
"2488","7997","Jim O'Neil"
"2494","4921","Town Sheriff"
"2494","5847","Tom Sloan"
"2511","691","Himself"
"2511","9793","Monty Siracusa"
"2539","9005","Timberwolf"
"2545","9616","Himself"
"2559","2342","Red Cap"
"2559","7178","Second Porter"
"2559","7682","Tolu"
"2576","7007","Mr. Bradish"
"2583","7126","Blister Sanderson"
"2591","336","Mr. Vesely"
"2600","6082",""
"2606","4721",""
"2620","9142","Studds"
"2624","5176","Student"
"2662","5212","Cawley"
"2691","353","Terry"
"2691","7979","Col. Andrew Mays"
"2692","334",""
"2693","6674",""
"2696","6925","Treasurer"
"2699","2437","Winthrop Trowbridge"
"2700","2763","Omar"
"2702","9747",""
"2742","3228","Albert Vitamin"
"2742","3236","Delivery man"
"2742","10212","Fisk-Pelle Pettersson"
"2752","8652","Eliyahu"
"2755","5440","Macon's Doctor"
"2774","923","Himself (in limousine with JF"
"2798","7889","Mr. O'Niel"
"2799","645","Ben Linker"
"2799","8556","Perucho"
"2802","8936","Richter"
"2806","10535","President Oompeba"
"2812","7613","Thief"
"2812","9414","Jean"
"2818","6089","Mamet"
"2838","9387","Sunil"
"2854","9502","Deepu Pradhan"
"2867","1859",""
"2867","2237","Padre"
"2867","6313","Enríquez"
"2898","400","Robbie Reimuller"
"2906","921","(segment India)"
"2914","6516","Himself"
"2922","9795","Narrator"
"2922","9802","Merchant/Narrator"
"2924","1974","Himself - Best Picture Winner"
"2924","1994","Himself - Presenter: Best Pic"
"2925","9795","Additional Voices"
"2925","9820","Mechanicles"
"2928","1985",""
"2949","3277","Christopher"
"2950","6621","Dancer"
"2952","2201","Rick Trainer"
"2952","8023","Burt Hornstein"
"2965","5150","Uncle Santos Malderone"
"2971","9632",""
"2998","5934",""
"2998","7131","Raum, chief Nazi Agent"
"3003","5671",""
"3017","7173","Will Brown"
"3030","2223","Himself"
"3049","5573","Vinnie"
"3055","390","Larry(Harry ?)"
"3055","548","Wagner"
"3055","549","Wagner"
"3055","550","Wagner"
"3055","3341","Tagliabue"
"3055","4767",""
"3055","4931","Enzo"
"3064","3335",""
"3067","5007","Fighting boy"
"3085","1623","Himself"
"3116","6384","Capitaine Para"
"3116","7464","Le Capitaine de Gendarmerie"
"3121","9852","Himself"
"3133","6556","Harvard Interviewer"
"3135","5802","Black assistant"
"3148","4291",""
"3148","4497",""
"3148","4858","Devdas"
"3152","700","Big Loc"
"3181","1740","Themselves"
"3181","2009","Themselves"
"3181","2302","Themselves - Performers"
"3191","6557","Rude Man"
"3217","8043","Shoemaker"
"3225","846","Himself - #100: Ben Affleck's"
"3225","1474","Himself"
"3225","1664","Bartender"
"3225","1674","Himself"
"3225","1725","Himself"
"3225","3021","Himself - Best Original Scree"
"3225","3044","Himself"
"3225","3053","Himself - Presenter: Best Ori"
"3225","7584","Himself"
"3226","1664","Tom"
"3246","5297","Zinab"
"3250","5185","Himself"
"3250","7464","Nadim"
"3275","1520","Roberto"
"3275","8908","Le faux plombier"
"3290","6661",""
"3290","9937","van Tessen"
"3301","1379","Sauna Man"
"3309","8842","Amonasro"
"3310","3291","Grocer"
"3336","725","Himself"
"3336","726","Himself"
"3336","732","Himself"
"3336","736","Himself"
"3336","3046","Himself (Memorial Tribute)"
"3336","3053","Himself (Memorial Tribute)"
"3336","6800","Tom Wade"
"3349","4209","President of the City Council"
"3349","4509",""
"3349","8410","Raibhya"
"3349","9502","Prime Minister"
"3373","18","News Producer"
"3375","4749",""
"3376","1685","Himself (New York Mets left F"
"3384","827",""
"3394","8207","Himself"
"3401","5833","Briggs"
"3418","7948","Rosen"
"3421","9543","Singer"
"3424","6584","Young man"
"3440","6307",""
"3442","2191","Himself"
"3451","4068",""
"3451","4080","Prem"
"3451","4086",""
"3451","4155",""
"3451","4319",""
"3451","4859",""
"3451","9388",""
"3452","6351",""
"3530","4119",""
"3533","4451","Avi (Baba's brother)"
"3554","3169","Production Secretary"
"3555","7473","Inspecteur Rouyère"
"3556","2447","Tenente Brunelli"
"3562","7982","Restaurant Owner"
"3565","8249","Le réceptionniste de l'auberg"
"3566","2520",""
"3566","3506",""
"3566","6631",""
"3566","9642",""
"3599","7199","Delivery Man"
"3635","4025","Himself"
"3636","9188","Victor"
"3643","1026","Crandall"
"3685","5007","Amine"
"3690","9625",""
"3701","8269",""
"3701","10003",""
"3709","8705","Tony Merino"
"3709","8727",""
"3709","10002",""
"3709","10003",""
"3709","10121",""
"3711","2993",""
"3721","3135",""
"3729","204",""
"3743","9727",""
"3757","2988","Rodolfo, el Cancionero"
"3757","3399",""
"3757","3554","Luis Macías Valadez"
"3757","8141",""
"3757","9656",""
"3767","10535","Gangster"
"3787","8573",""
"3794","9955","Belinchón"
"3811","9944",""
"3827","9084","Cabo Guardia Civil Control"
"3835","1296",""
"3845","9681",""
"3846","8574",""
"3855","4523",""
"3855","9730",""
"3864","6486","Father"
"3878","8563","Lui-même"
"3889","2447","Il colonnello"
"3889","6208","Paride"
"3897","8602",""
"3906","3547","Old man"
"3906","9422",""
"3912","1311","Marcos (Episodio de Adrián Su"
"3915","3241","Interviewer"
"3932","8657","Bodybuilder"
"3935","6581","Himself"
"3971","9073","David Ashe"
"4026","1050",""
"4026","9543","Jewellery thief"
"4027","2837","Christopher Masters"
"4083","4495",""
"4106","6240","Abdel Samad"
"4106","9756",""
"4108","7645","Hussein"
"4114","4680","Depak"
"4166","1750","Myung-Hak Lee"
"4171","5840","Man in theatre"
"4171","7111","Wu Tan"
"4212","8902","Health inspector Hyttinen"
"4212","9507","Elias Kankaanpää, ""Elkku"""
"4219","4334","Näyttelijäseurue: Köyhä"
"4228","5137","Teddy"
"4247","681","Ville Karlsson"
"4247","2907","66 Pelle Frisk"
"4247","10211","Manne Karlsson"
"4252","2298","Kramer Sr.."
"4265","4540",""
"4265","6330","Villista"
"4265","6441",""
"4265","8705","Policeman"
"4265","8724",""
"4265","8726",""
